datetime,close,MA5,MA20,MA5 >= MA20,Position,TradeP&L,PositionP&L,CumP&L,Capital,Return,NetAssetValue,NetAssetValue2
2020/4/17 11:07,3841,3839.4,3837.95,TRUE,1,0,2,-136,9864,0.000202799,0.9864,0.9864
2020/4/17 11:08,3840,3839.84,3837.83,TRUE,1,0,-10,-146,9854,-0.001013788,0.9854,0.9854
2020/4/17 11:09,3842,3840.52,3837.87,TRUE,1,0,20,-126,9874,0.002029633,0.9874,0.9874
2020/4/17 11:10,3843.4,3841.44,3838.27,TRUE,1,0,14,-112,9888,0.001417865,0.9888,0.9888
2020/4/17 11:11,3838.8,3841.04,3838.58,TRUE,1,0,-46,-158,9842,-0.004652104,0.9842,0.9842
2020/4/17 11:12,3840,3840.84,3838.88,TRUE,1,0,12,-146,9854,0.001219264,0.9854,0.9854
2020/4/17 11:13,3839,3840.64,3839.04,TRUE,1,0,-10,-156,9844,-0.001014816,0.9844,0.9844
2020/4/17 11:14,3839.2,3840.08,3839.07,TRUE,1,0,2,-154,9846,0.000203169,0.9846,0.9846
2020/4/17 11:15,3840.8,3839.56,3839.16,TRUE,1,0,16,-138,9862,0.001625025,0.9862,0.9862
2020/4/17 11:16,3841.6,3840.12,3839.35,TRUE,1,0,8,-130,9870,0.000811194,0.987,0.987
2020/4/17 11:17,3841.2,3840.36,3839.62,TRUE,1,0,-4,-134,9866,-0.000405268,0.9866,0.9866
2020/4/17 11:18,3844.6,3841.48,3840.07,TRUE,1,0,34,-100,9900,0.003446179,0.99,0.99
2020/4/17 11:19,3845.6,3842.76,3840.49,TRUE,1,0,10,-90,9910,0.001010101,0.991,0.991
2020/4/17 11:20,3845.8,3843.76,3840.95,TRUE,1,0,2,-88,9912,0.000201816,0.9912,0.9912
2020/4/17 11:21,3845.2,3844.48,3841.23,TRUE,1,0,-6,-94,9906,-0.000605327,0.9906,0.9906
2020/4/17 11:22,3844,3845.04,3841.41,TRUE,1,0,-12,-106,9894,-0.001211387,0.9894,0.9894
2020/4/17 11:23,3843,3844.72,3841.67,TRUE,1,0,-10,-116,9884,-0.001010714,0.9884,0.9884
2020/4/17 11:24,3843.4,3844.28,3841.91,TRUE,1,0,4,-112,9888,0.000404694,0.9888,0.9888
2020/4/17 11:25,3846,3844.32,3842.27,TRUE,1,0,26,-86,9914,0.00262945,0.9914,0.9914
2020/4/17 11:26,3845,3844.28,3842.48,TRUE,1,0,-10,-96,9904,-0.001008675,0.9904,0.9904
2020/4/17 11:27,3843.6,3844.2,3842.61,TRUE,1,0,-14,-110,9890,-0.00141357,0.989,0.989
2020/4/17 11:28,3844.4,3844.48,3842.83,TRUE,1,0,8,-102,9898,0.000808898,0.9898,0.9898
2020/4/17 11:29,3844.4,3844.68,3842.95,TRUE,1,0,0,-102,9898,0,0.9898,0.9898
2020/4/17 13:30,3853,3846.08,3843.43,TRUE,1,0,86,-16,9984,0.008688624,0.9984,0.9984
2020/4/17 13:31,3855,3848.08,3844.24,TRUE,1,0,20,4,10004,0.002003205,1.0004,1.0004
